date;value;Total
2022-02-24;800;800
2022-02-25;1000;1800
2022-02-26;1100;2900
2022-02-27;1000;3900
2022-02-28;1000;4900
2022-03-01;1040;5940
2022-03-02;1060;7000
2022-03-03;1070;8066
2022-03-04;1030;9000
2022-03-05;1000;10000
2022-03-06;1000;11100
2022-03-07;500;11500
2022-03-08;500;12000
2022-03-09;200;12200
2022-03-10;300;12500
2022-03-11;200;12700
2022-03-12;400;13100
2022-03-13;400;13500
2022-03-14;200;13700
2022-03-15;100;13800
2022-03-16;200;14000
2022-03-17;200;14200
2022-03-18;200;14400
2022-03-19;300;14700
2022-03-20;300;15000
2022-03-21;300;15300
2022-03-22;300;15600
2022-03-23;300;15900
2022-03-24;300;16200
2022-03-25;200;16400
2022-03-26;200;16600
2022-03-27;300;16900
2022-03-28;200;17100
2022-03-29;200;17300
2022-03-30;150;17450
2022-03-31;100;17550
2022-04-01;100;17650
2022-04-02;200;17850
2022-04-03;150;18000
2022-04-04;200;18200
2022-04-05;150;18350
2022-04-06;150;18500
2022-04-07;200;18700
2022-04-08;200;18900
2022-04-09;150;19050
2022-04-10;200;19250
2022-04-11;150;18600
2022-04-12;200;19600
2022-04-13;200;19800
2022-04-14;100;19900
2022-04-15;100;20000
2022-04-16;100;20100
2022-04-17;200;20300
2022-04-18;300;20600
2022-04-19;200;20800
2022-04-20;100;20900
2022-04-21;100;21000
2022-04-22;200;21200
2022-04-23;400;21600
2022-04-24;200;21800
2022-04-25;100;21900
2022-04-26;200;22100
2022-04-27;300;22400
2022-04-28;400;22800
2022-04-29;200;23000
2022-04-30;200;23200
2022-05-01;300;23500
2022-05-02;300;23800
2022-05-03;400;24200
2022-05-04;300;24500
2022-05-05;200;24700
2022-05-06;200;24900
2022-05-07;200;25100
2022-05-08;400;25500
2022-05-09;150;25650
2022-05-10;350;26000
2022-05-11;350;26350
2022-05-12;300;26650
2022-05-13;250;26900
2022-05-14;300;27200
2022-05-15;200;27400
2022-05-16;300;27700
2022-05-17;200;27900
2022-05-18;400;28300
2022-05-19;200;28500
2022-05-20;200;28700
2022-05-21;150;28850
2022-05-22;200;29050
2022-05-23;150;29200
2022-05-24;150;29350
2022-05-25;100;29450
2022-05-26;150;29600
2022-05-27;150;29750
2022-05-28;250;30000
2022-05-29;150;30150
2022-05-30;200;30350
2022-05-31;150;30500
