date;value;Total
24.02.2022;800;800
25.02.2022;1000;1800
26.02.2022;1100;2900
27.02.2022;1000;3900
28.02.2022;1000;4900
01.03.2022;1040;5940
02.03.2022;1060;7000
03.03.2022;1070;8066
04.03.2022;1030;9000
05.03.2022;1000;10000
06.03.2022;1000;11100
07.03.2022;500;11500
08.03.2022;500;12000
09.03.2022;200;12200
10.03.2022;300;12500
11.03.2022;200;12700
12.03.2022;400;13100
13.03.2022;400;13500
14.03.2022;200;13700
15.03.2022;100;13800
16.03.2022;200;14000
17.03.2022;200;14200
18.03.2022;200;14400
19.03.2022;300;14700
20.03.2022;300;15000
21.03.2022;300;15300
22.03.2022;300;15600
23.03.2022;300;15900
24.03.2022;300;16200
25.03.2022;200;16400
26.03.2022;200;16600
27.03.2022;300;16900
28.03.2022;200;17100
29.03.2022;200;17300
30.03.2022;150;17450
31.03.2022;100;17550
01.04.2022;100;17650
02.04.2022;200;17850
03.04.2022;150;18000
04.04.2022;200;18200
05.04.2022;150;18350
06.04.2022;150;18500
07.04.2022;200;18700
08.04.2022;200;18900
09.04.2022;150;19050
10.04.2022;200;19250
11.04.2022;150;18600
12.04.2022;200;19600
13.04.2022;200;19800
14.04.2022;100;19900
15.04.2022;100;20000
16.04.2022;100;20100
17.04.2022;200;20300
18.04.2022;300;20600
19.04.2022;200;20800
20.04.2022;100;20900
21.04.2022;100;21000
22.04.2022;200;21200
23.04.2022;400;21600
24.04.2022;200;21800
25.04.2022;100;21900
26.04.2022;200;22100
27.04.2022;300;22400
28.04.2022;400;22800
29.04.2022;200;23000
30.04.2022;200;23200
01.05.2022;300;23500
02.05.2022;300;23800
03.05.2022;400;24200
04.05.2022;300;24500
05.05.2022;200;24700
06.05.2022;200;24900
07.05.2022;200;25100
08.05.2022;400;25500
09.05.2022;150;25650
10.05.2022;350;26000
11.05.2022;350;26350
12.05.2022;300;26650
13.05.2022;250;26900
14.05.2022;300;27200
15.05.2022;200;27400
16.05.2022;300;27700
17.05.2022;200;27900
18.05.2022;400;28300
19.05.2022;200;28500
20.05.2022;200;28700
21.05.2022;150;28850
22.05.2022;200;29050
23.05.2022;150;29200
